iter	RMSE
182	9267.164955
183	9259.019083
184	9241.380262
185	9230.516182
186	9213.305832
187	9200.111257
188	9186.625682
189	9174.882108
190	9164.170019
191	9149.478993
192	9138.461772
193	9128.749434
194	9119.682035
195	9102.493963
196	9090.362167
197	9078.328995
198	9066.839703
199	9056.312992
200	9042.788597
201	9027.859577
202	9016.984747
203	9004.241445
204	8992.423396
205	8979.614649
206	8967.926954
207	8951.148348
208	8937.69051
209	8929.262201
210	8917.948013
211	8906.272396
212	8897.56854
213	8887.88965
214	8877.926646
215	8868.465492
216	8854.652563
217	8840.927128
218	8832.684312
219	8821.913513
220	8809.888176
221	8797.940635
222	8788.288396
223	8778.525484
224	8763.789146
225	8753.615385
226	8740.633997
227	8723.101437
228	8707.717152
229	8700.115228
230	8690.308396
231	8681.935618
232	8662.924292
233	8653.467723
234	8642.08412
235	8626.933788
236	8616.674018
237	8600.019025
238	8590.674666
239	8578.32833
240	8567.497915
241	8561.335262
242	8551.023175
243	8542.577974
244	8531.760576
245	8519.35032
246	8509.561745
247	8500.45
248	8491.049861
249	8482.408909
250	8472.741743
251	8454.684583
252	8446.016075
253	8430.927022
254	8419.520396
255	8406.995537
256	8396.31905
257	8387.306233
258	8376.691698
259	8370.945201
260	8353.971315
261	8342.261937
262	8332.017492
263	8322.258889
264	8310.710835
265	8302.937771
266	8292.723449
267	8284.715709
268	8276.090444
269	8261.327882
270	8251.989193
271	8244.883646
272	8237.597927
273	8226.116139
274	8217.395966
275	8209.338695
276	8196.97549
277	8190.587155
278	8181.454291
279	8172.367935
280	8160.318659
281	8153.610885
282	8140.056955
283	8129.862903
284	8116.845447
285	8105.236203
286	8095.020488
287	8083.57052
288	8069.053401
289	8061.122789
290	8052.753165
291	8042.878319
292	8037.0065
293	8025.085682
294	8016.162437
295	8003.461745
296	7992.057955
297	7979.329679
298	7965.922494
299	7958.960827
300	7944.917843
301	7937.166248
302	7929.657901
303	7918.066625
304	7905.487013
305	7900.743224
306	7892.370686
307	7881.507943
308	7872.063943
309	7860.513882
310	7848.106471
311	7842.168622
312	7828.599709
313	7820.469693
314	7813.534503
315	7807.183817
316	7797.104677
317	7789.960693
318	7782.909158
319	7773.806635
320	7765.849713
321	7758.482597
322	7748.293997
323	7742.021514
324	7735.112457
325	7726.887039
326	7714.200116
327	7704.178907
328	7692.936311
329	7684.286446
330	7673.971015
331	7664.008456
332	7658.34127
333	7649.951813
334	7639.292481
335	7629.520416
336	7621.687651
337	7615.629004
338	7603.406935
339	7598.370496
340	7586.835285
341	7579.861231
342	7572.971708
343	7566.280565
344	7558.218104
345	7548.801121
346	7542.497739
347	7533.624435
348	7521.270342
349	7514.410143
350	7508.140877
351	7500.662471
352	7490.605924
353	7481.077952
354	7472.344976
355	7463.743547
356	7455.031843
357	7444.334293
358	7439.870268
359	7433.771108
360	7426.689848
361	7418.605751
362	7411.939818
363	7402.466547
364	7395.954098
365	7389.621211
366	7382.019877
367	7375.521158
368	7366.87034
369	7358.564447
370	7348.604104
371	7340.441426
372	7332.794128
373	7327.800373
374	7316.078732
375	7308.797476
376	7303.960472
377	7294.405927
378	7287.167654
379	7277.579725
380	7267.991321
381	7259.158918
382	7252.809697
383	7244.786864
384	7236.067839
385	7224.697647
386	7216.520956
387	7211.487253
388	7205.680627
389	7197.882229
390	7190.716492
391	7184.888379
392	7178.71423
393	7169.688947
394	7161.134215
395	7150.697853
396	7144.904196
397	7136.329885
398	7129.220636
399	7122.619577
400	7113.313405
401	7108.031712
402	7102.352137
403	7094.709317
404	7090.583949
405	7085.999195
406	7078.222285
407	7073.401661
408	7063.51144
409	7057.120378
410	7050.556492
411	7041.017271
412	7033.728119
413	7026.917145
414	7018.677503
415	7013.879695
416	7007.473574
417	7002.264
418	6996.967224
419	6991.847982
420	6985.924293
421	6977.667569
422	6968.321208
423	6960.011802
424	6950.176967
425	6943.84301
426	6938.706018
427	6929.965079
428	6924.347038
429	6915.697338
430	6909.46171
431	6906.370278
432	6901.217228
433	6892.476966
434	6885.783052
435	6879.570276
436	6871.244612
437	6865.591018
438	6856.871677
439	6849.173782
440	6839.649065
441	6833.901276
442	6824.148986
443	6815.402735
444	6805.602296
445	6800.050354
446	6794.814343
447	6785.779283
448	6778.751487
449	6772.558409
450	6766.527739
451	6759.491114
452	6752.82496
453	6744.721704
454	6737.839643
455	6728.513801
456	6720.949804
457	6716.814124
458	6712.249892
459	6701.686059
460	6697.014928
461	6693.552815
462	6689.013065
463	6681.721564
464	6673.664193
465	6669.102439
466	6661.323608
467	6655.751266
468	6646.327441
469	6637.329325
470	6631.042433
471	6620.978882
472	6613.281201
473	6610.611346
474	6604.842383
475	6597.793453
476	6592.580611
477	6587.078986
478	6580.738001
479	6576.370261
480	6572.378191
481	6567.340597
482	6560.860191
483	6552.510761
484	6543.380533
485	6536.414897
486	6530.337576
487	6523.21113
488	6518.069944
489	6510.049414
490	6504.788755
491	6500.494951
492	6493.490997
493	6488.059628
494	6479.772246
495	6473.048506
496	6467.943724
497	6463.54122
498	6458.040676
499	6451.18336
500	6445.932663
501	6439.577772
502	6435.170551
503	6427.423827
504	6419.507918
505	6415.026568
506	6410.546973
507	6401.364387
508	6390.897953
509	6382.158472
510	6374.718197
511	6370.724676
512	6365.56933
513	6359.355807
514	6355.588986
515	6352.140398
516	6345.143858
517	6339.332178
518	6333.537368
519	6327.008986
520	6321.864909
521	6312.480528
522	6306.610991
523	6303.942352
524	6300.701775
525	6295.075397
526	6289.388844
527	6282.334555
528	6277.820284
529	6272.540529
530	6264.770621
531	6258.975463
532	6253.458443
533	6244.692149
534	6241.114049
535	6235.413699
536	6229.230311
537	6222.765183
538	6217.381988
539	6209.586393
540	6205.926905
541	6199.636247
542	6195.65717
543	6190.869952
544	6184.411906
545	6178.145532
546	6172.584938
547	6166.689668
548	6160.950555
549	6155.446604
550	6151.503954
551	6144.484833
552	6139.062376
553	6133.532475
554	6127.674883
555	6122.701715
556	6117.525397
557	6111.259523
558	6105.908468
559	6100.888574
560	6096.423161
561	6088.898283
562	6085.043879
563	6078.530432
564	6076.290208
565	6072.44507
566	6068.81522
567	6059.954181
568	6054.994547
569	6049.144906
570	6045.621672
571	6039.490443
572	6035.772418
573	6030.40291
574	6024.200183
575	6020.902128
576	6014.538677
577	6010.040488
578	6004.903146
579	5995.42886
580	5992.5607
581	5987.896929
582	5984.284528
583	5978.786783
584	5974.469134
585	5969.981063
586	5962.021515
587	5957.521054
588	5952.768405
589	5944.655419
590	5937.76454
591	5930.996511
592	5926.095178
593	5920.709835
594	5915.966166
595	5910.333238
596	5904.967442
597	5899.737579
598	5895.155066
599	5890.089123
600	5884.374998
601	5878.064525
602	5875.726829
603	5866.885271
604	5860.854233
605	5856.382545
606	5852.798899
607	5846.709286
608	5841.980787
609	5837.561332
610	5832.294426
611	5828.76063
612	5820.860027
613	5818.624961
614	5812.564762
615	5807.233065
616	5803.276365
617	5798.871113
618	5794.459383
619	5788.134633
620	5782.036587
621	5778.421795
622	5773.868428
623	5767.072317
624	5761.42951
625	5755.999414
626	5751.274921
627	5747.189676
628	5741.415816
629	5737.427815
630	5732.262641
631	5728.838705
632	5724.668744
633	5720.291103
634	5717.490884
635	5714.373577
636	5710.56923
637	5704.667261
638	5700.136021
639	5696.910825
640	5692.335534
641	5685.686844
642	5680.758257
643	5674.668525
644	5669.988206
645	5666.300667
646	5660.266439
647	5657.903915
648	5653.347285
649	5644.560619
650	5640.711421
651	5636.183735
652	5631.096026
653	5627.213106
654	5621.56116
655	5612.593136
656	5605.946718
657	5601.761989
658	5597.560713
659	5592.398433
660	5589.721359
661	5586.982923
662	5584.222659
663	5579.619505
664	5574.949429
665	5568.677301
666	5564.950976
667	5562.081834
668	5559.626573
669	5554.729317
670	5547.774341
671	5544.324837
672	5540.029335
673	5537.235877
674	5531.774204
675	5526.321816
676	5521.361935
677	5516.258936
678	5510.853614
679	5506.612271
680	5502.052936
681	5497.016583
682	5493.768584
683	5489.560027
684	5483.872125
685	5480.319605
686	5474.939384
687	5470.896869
688	5468.060234
689	5462.559962
690	5458.345379
691	5455.601167
692	5450.172651
693	5447.121118
694	5442.418036
695	5439.391564
696	5433.133962
697	5428.731561
698	5424.148348
699	5419.384993
700	5416.288061
701	5412.272688
702	5407.123637
703	5403.471477
704	5399.144971
705	5394.091569
706	5388.914095
707	5384.814517
708	5382.901302
709	5378.255858
710	5374.152514
711	5370.98331
712	5367.098455
713	5360.864431
714	5355.44424
715	5348.005178
716	5342.911619
717	5339.2134
718	5336.033978
719	5327.692774
720	5323.850975
721	5320.996841
722	5315.801641
723	5310.133618
724	5305.142556
725	5302.130053
726	5297.43405
727	5293.488449
728	5291.220459
729	5285.440363
730	5278.66921
731	5273.338699
732	5267.217317
733	5260.231099
734	5256.055731
735	5252.397264
736	5248.967025
737	5245.46434
738	5241.931544
739	5236.482959
740	5230.828644
741	5227.159325
742	5221.899481
743	5218.749652
744	5214.567029
745	5208.281531
746	5205.401209
747	5202.836869
748	5197.459158
749	5193.764113
750	5190.879403
751	5187.080929
752	5183.703008
753	5178.649352
754	5175.095181
755	5172.102998
756	5168.180804
757	5165.458641
758	5161.900237
759	5158.571777
760	5153.497311
761	5146.664636
762	5143.179198
763	5138.536981
764	5133.484859
765	5130.790141
766	5123.636266
767	5120.496282
768	5114.955406
769	5111.284716
770	5109.696388
771	5107.269658
772	5103.870267
773	5097.813463
774	5091.504422
775	5087.000242
776	5082.595025
777	5078.796999
778	5071.526027
779	5068.518532
780	5064.84702
781	5061.585573
782	5057.538299
783	5053.979043
784	5051.037465
785	5045.779504
786	5041.798739
787	5037.174455
788	5033.472534
789	5027.805152
790	5022.201162
791	5019.225335
792	5015.593207
793	5009.768535
794	5002.915329
795	4999.525358
796	4993.398014
797	4985.784516
798	4982.765101
799	4978.244209
800	4971.736791
801	4964.420857
802	4961.068103
803	4956.992947
804	4952.93014
805	4948.219946
806	4945.185797
807	4942.316548
808	4936.264557
809	4930.40427
810	4927.319842
811	4921.710018
812	4915.878045
813	4912.073784
814	4907.227416
815	4903.409989
816	4897.597914
817	4894.389173
818	4891.977702
819	4885.36175
820	4881.99674
821	4879.177347
822	4875.848893
823	4872.994204
824	4868.577774
825	4862.609835
826	4861.100368
827	4856.650855
828	4852.643979
829	4849.344779
830	4845.913195
831	4842.707154
832	4839.060514
833	4836.862764
834	4831.999455
835	4827.799759
836	4826.446013
837	4823.188302
838	4818.327632
839	4814.945278
840	4811.754917
841	4805.503536
842	4803.416629
843	4801.475394
844	4797.74802
845	4792.940198
846	4790.745445
847	4787.351832
848	4783.291264
849	4780.188984
850	4778.067485
851	4773.61617
852	4769.46053
853	4765.419242
854	4763.866229
855	4762.615292
856	4758.33729
857	4755.320527
858	4749.259621
859	4743.255206
860	4741.746683
861	4738.354203
862	4733.310614
863	4730.53399
864	4726.137991
865	4723.01883
866	4719.79574
867	4714.396561
868	4711.009395
869	4708.262904
870	4704.373368
871	4701.120144
872	4698.361718
873	4695.652406
874	4693.273914
875	4690.355226
876	4686.426738
877	4683.587192
878	4678.497948
879	4675.24212
880	4673.225905
881	4670.305101
882	4666.812356
883	4664.529855
884	4660.109445
885	4656.286238
886	4651.436315
887	4648.578151
888	4645.581985
889	4643.095602
890	4639.438581
891	4635.520847
892	4632.646816
893	4629.343726
894	4624.944741
895	4623.219843
896	4621.005137
897	4618.563769
898	4613.237544
899	4610.433458
900	4608.137032
901	4604.941257
902	4602.675468
903	4600.013138
904	4596.453831
905	4594.052198
906	4591.963806
907	4589.846767
908	4587.124564
909	4581.1628
910	4576.637394
911	4574.478459
912	4571.142267
913	4566.267856
914	4561.158277
915	4556.694034
916	4553.425609
917	4549.737537
918	4546.14902
919	4541.923561
920	4539.725807
921	4534.954943
922	4532.151836
923	4530.168128
924	4524.278623
925	4520.766008
926	4516.947794
927	4514.929638
928	4513.03522
929	4510.109379
930	4507.621587
931	4502.456339
932	4499.572319
933	4496.338484
934	4493.201325
935	4489.040839
936	4484.326771
937	4481.263688
938	4478.398886
939	4474.952209
940	4472.774743
941	4469.253065
942	4464.984283
943	4460.176722
944	4455.474791
945	4452.359473
946	4448.299681
947	4444.323329
948	4440.153161
949	4435.779521
950	4429.931432
951	4426.163218
952	4422.198375
953	4417.158236
954	4413.374149
955	4410.361582
956	4408.621363
957	4402.380096
958	4399.684996
959	4396.315561
960	4394.631985
961	4390.850631
962	4389.05093
963	4387.404961
964	4384.948115
965	4382.688144
966	4380.865288
967	4378.525119
968	4373.571349
969	4371.02365
970	4369.249215
971	4367.667694
972	4362.279981
973	4360.229878
974	4356.123352
975	4351.252039
976	4348.829506
977	4344.388102
978	4341.610852
979	4338.281348
980	4333.993893
981	4331.452268
982	4329.515667
983	4326.407916
984	4321.839823
985	4319.576791
986	4316.137358
987	4312.750618
988	4307.423421
989	4304.37983
990	4301.272541
991	4298.543237
992	4294.885313
993	4292.963682
994	4288.82542
995	4286.043759
996	4284.080548
997	4279.987373
998	4276.150299
999	4273.425354
